"","X","ANO","ED5","SEXO","ESC","FREC.cr"
"185",185,5,2,1,4,64
"186",186,1,3,1,4,60
"187",187,2,3,1,4,74
"188",188,3,3,1,4,89
"189",189,4,3,1,4,85
"190",190,5,3,1,4,105
"191",191,1,4,1,4,110
"192",192,2,4,1,4,129
"193",193,3,4,1,4,126
"194",194,4,4,1,4,142
"195",195,5,4,1,4,145
"196",196,1,5,1,4,156
"197",197,2,5,1,4,161
"198",198,3,5,1,4,225
"199",199,4,5,1,4,275
"200",200,5,5,1,4,266
"201",201,1,1,0,5,15
"202",202,2,1,0,5,11
"203",203,3,1,0,5,10
"204",204,4,1,0,5,11
"205",205,5,1,0,5,14
"206",206,1,2,0,5,27
"207",207,2,2,0,5,20
"208",208,3,2,0,5,19
"209",209,4,2,0,5,21
"210",210,5,2,0,5,18
"211",211,1,3,0,5,61
"212",212,2,3,0,5,65
"213",213,3,3,0,5,49
"214",214,4,3,0,5,46
"215",215,5,3,0,5,72
"216",216,1,4,0,5,108
"217",217,2,4,0,5,124
"218",218,3,4,0,5,80
"219",219,4,4,0,5,97
"220",220,5,4,0,5,95
"221",221,1,5,0,5,297
"222",222,2,5,0,5,342
"223",223,3,5,0,5,309
"224",224,4,5,0,5,282
"225",225,5,5,0,5,300
"226",226,1,1,1,5,14
"227",227,2,1,1,5,12
"228",228,3,1,1,5,17
"229",229,4,1,1,5,17
"230",230,5,1,1,5,14
"231",231,1,2,1,5,30
"232",232,2,2,1,5,41
"233",233,3,2,1,5,36
"234",234,4,2,1,5,34
"235",235,5,2,1,5,43
"236",236,1,3,1,5,76
"237",237,2,3,1,5,99
"238",238,3,3,1,5,65
"239",239,4,3,1,5,82
"240",240,5,3,1,5,92
"241",241,1,4,1,5,134
"242",242,2,4,1,5,138
"243",243,3,4,1,5,142
"244",244,4,4,1,5,139
"245",245,5,4,1,5,141
"246",246,1,5,1,5,235
"247",247,2,5,1,5,242
"248",248,3,5,1,5,263
"249",249,4,5,1,5,273
"250",250,5,5,1,5,325
